date,time_ist,runner,status,market,prices_as_of,oi_as_of,list,ranked,chg,oi,long,short,elapsed_s,error
2026-09-17,22:25:47,github-windows,ok,Closed,17-Sep-2026 16:00:28,17-Sep-2026 15:41:59,210,40,26,4,MFSL,POLICYBZR PNBHOUSING FEDERALBNK,8.9,
2026-09-17,22:32:31,github-windows,ok,Closed,17-Sep-2026 16:00:28,17-Sep-2026 15:41:59,210,40,26,4,MFSL,POLICYBZR PNBHOUSING FEDERALBNK,10.2,
2026-09-17,22:36:21,github-windows,ok,Closed,17-Sep-2026 16:00:28,17-Sep-2026 15:41:59,210,40,26,4,MFSL,POLICYBZR PNBHOUSING FEDERALBNK,13.0,
2026-09-18,14:01:10,github-windows,ok,Open,18-Sep-2026 14:00:50,18-Sep-2026 14:00:25,210,40,23,7,SONACOMS SUPREMEIND BHARATFORG PIDILITIND,TCS TMPV KPITTECH,10.2,
2026-09-21,14:49:04,github-windows,ok,Open,21-Sep-2026 14:49:01,21-Sep-2026 14:48:24,210,40,39,7,PATANJALI MANKIND LICHSGFIN ICICIGI,OFSS BSE PAYTM,13.1,
2026-09-21,14:50:17,github-windows,ok,Open,21-Sep-2026 14:50:08,21-Sep-2026 14:49:12,210,40,38,7,PATANJALI MANKIND LICHSGFIN ICICIGI,OFSS BSE PAYTM,22.7,
2026-09-22,14:19:43,github-windows,ok,Open,22-Sep-2026 14:19:36,22-Sep-2026 14:17:39,210,40,16,9,RBLBANK PAGEIND PIIND,KAYNES CONCOR LTM VOLTAS ATHERENERG DIXON,11.2,
